Title;round;Send Date;Total Recipients;Successful Deliveries;Unique Opens;Open Rate;Total Opens;Unique Clicks;Click Rate;Total Clicks
Week 0;1;May 24, 2021 07:28 am;41;41;35;85.36%;108;29;69.04%;94
Week 1;1;May 31, 2021 06:16 am;41;41;34;82.93%;74;30;73.17%;247
Week 2;1;Jun 07, 2021 05:38 am;41;41;34;82.93%;61;24;58.54%;96
Week 3;1;Jun 14, 2021 03:26 am;41;41;25;60.98%;53;19;46.34%;51
Week 4;1;Jun 21, 2021 03:26 am;41;41;26;63.41%;41;13;31.71%;28
Week 5;1;Jun 28, 2021 05:40 am;41;41;29;70.73%;56;19;46.34%;54
Week 6;1;Jul 05, 2021 04:18 am;41;41;27;65.85%;48;19;46.34%;50
Week 7;1;Jul 12, 2021 04:47 am;41;41;28;68.29%;50;18;43.90%;42
Week 8;1;Jul 19, 2021 03:25 am;41;41;25;60.98%;40;15;36.59%;32
Week 9;1;Jul 26, 2021 05:33 am;41;41;33;80.49%;76;27;65.85%;169
Week 0;2;Nov 15, 2021 04:33 am;38;37;31;83.33%;76;20;64.51%;73
Week 1;2;Nov 22, 2021 03:39 am;39;39;29;74.36%;72;19;48.72%;138
Week 2;2;Nov 29, 2021 04:28 am;38;38;23;60.53%;53;15;39.47%;46
Week 3;2;Dec 06, 2021 03:57 am;38;38;21;55.26%;43;16;42.11%;46
Week 4;2;Dec 13, 2021 03:09 am;38;38;22;57.89%;36;14;36.84%;38
Week 5;2;Dec 20, 2021 01:15 am;38;38;25;65.79%;51;19;50.00%;50
Week 6;2;Dec 27, 2021 02:41 am;38;38;28;73.68%;51;18;47.37%;51
Week 7;2;Jan 03, 2022 03:39 am;38;38;21;55.26%;38;14;36.84%;39
Week 8;2;Jan 10, 2022 03:07 am;38;38;21;55.26%;43;12;31.58%;28
Week 9;2;Jan 17, 2022 03:35 am;38;38;27;71.05%;87;22;57.89%;101
